ECLI,Ref_ECLI,Anchor text,Paragraph
ECLI:NL:CRVB:1990:ZB3988,ECLI:NL:CRVB:1990:ZB3988,LJN: ZB3988,"LJN: ZB3988, Centrale Raad van Beroep, 26-04-1990, AW 1988/207"
ECLI:NL:CRVB:1991:ZB4693,ECLI:NL:CRVB:1991:ZB4693,TAR 1991/239,"Meta data
doc-id
da8b3bd07b1467d392f526e85e173c2de0
keyword
BBRA 1984
title
TAR 1991/239: Aan het KB van 29 oktober 1987 tot intrekking van de zogenaamde Querido-regeling kleven zodanige feilen, dat het door eiser buiten to...
primary-class
ruling/commentary
publishing-status
modified
publishing-dates
available-date: 2011-03-31T00:00:00 modified-date: 2011-07-18T00:00:00 revised-date: 1989-11-14T00:00:00 sort-date: 1989-11-14T00:00:00 notification-date:  
searchable
yes
"
ECLI:NL:CRVB:1992:AK9814,ECLI:NL:CRVB:1992:AK9814,ECLI:NL:CRVB:1992:AK9814,"CRvB 29-12-1992, ECLI:NL:CRVB:1992:AK9814"
ECLI:NL:HR:1999:AA3365,ECLI:NL:HR:1999:AA3365,12 november 1999.Nr. R 98/157 HR,in het openbaar uitgesproken door de raadsheer Heemskerk op 12 november 1999.Nr. R 98/157 HR                                  Mr. Langemeijer
ECLI:NL:HR:2000:ZD1689,ECLI:NL:HR:2000:ZD1689,1 februari 2000 Strafkamer nr. 112.596 E SM Hoge Raad der Nederlanden,"1 februari 2000 Strafkamer nr. 112.596 E SM Hoge Raad der Nederlanden Arrest op het beroep in cassatie tegen een arrest van het Gerechtshof te 's-Gravenhage, Economische Kamer, van 24 september 1998 alsmede tegen alle op de terechtzitting van dit Hof gegeven beslissingen in de strafzaak tegen: De Vennootschap naar vreemd recht [verdachte], gevestigd te [vestigingsplaats] (Polen). 1. De bestreden einduitspraak..."
ECLI:NL:RVS:2000:AA5386,ECLI:NL:RVS:2000:AA5386,199900240/1. Datum uitspraak: 16 maart 2000,199900240/1. Datum uitspraak: 16 maart 2000
ECLI:NL:HR:2000:AA5408,ECLI:NL:HR:2000:AA5408,7 april 2000 Eerste Kamer Rek.nr. R99/122HR Hoge Raad der Nederlanden,"7 april 2000 Eerste Kamer Rek.nr. R99/122HR Hoge Raad der Nederlanden Beschikking in de zaak van: [de bijstandontvanger], wonende te [woonplaats], VERZOEKER tot cassatie, advocaat: mr drs K.M. van Holten, t e g e n DE GEMEENTE HAREN, gevestigd te Haren (Gr.), VERWEERSTER in cassatie, advocaat: mr A.J. Swelheim. 1.Het geding in feitelijke instanties..."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,28 april 2000 Eerste Kamer Nr. C99/087HR Hoge Raad der Nederlanden,"28 april 2000 Eerste Kamer Nr. C99/087HR Hoge Raad der Nederlanden Arrest in de zaak van: [curator], in zijn hoedanigheid van curator in het faillissement van J. Domp B.V., wonende te [woonplaats], EISER tot cassatie, voorwaardelijk incidenteel verweerder,  advocaat: mr G. Snijders,  t e g e n MONTEDISON FINANCE EUROPE N.V., voorheen genaamd Montedison (Nederland) N.V.,   gevestigd te Rotterdam, [verweerder 1], zonder bekende woon- of verblijfplaats, [verweerder 2], wonende te [woonplaats], Italië, [verweerder 3], wonende te [woonplaats], Italië, VERWEERDERS in cassatie, voorwaardelijk incidenteel eisers, advocaat: mr R.S. Meijer. 1.Het geding in feitelijke instanties..."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"28 april 2000 Eerste Kamer Nr. C99/087HR Hoge Raad der Nederlanden Arrest in de zaak van: [curator], in zijn hoedanigheid van curator in het faillissement van J. Domp B.V., wonende te [woonplaats], EISER tot cassatie, voorwaardelijk incidenteel verweerder,  advocaat: mr G. Snijders,  t e g e n MONTEDISON FINANCE EUROPE N.V., voorheen genaamd Montedison (Nederland) N.V.,   gevestigd te Rotterdam, [verweerder 1], zonder bekende woon- of verblijfplaats, [verweerder 2], wonende te [woonplaats], Italië, [verweerder 3], wonende te [woonplaats], Italië, VERWEERDERS in cassatie, voorwaardelijk incidenteel eisers, advocaat: mr R.S. Meijer. 1.Het geding in feitelijke instanties..."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"genaamd Montedison (Nederland) N.V.,   gevestigd te"
